"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Layer_Source","store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Point_Source","Location"
"Census Tract","04013614400","AZ","04013614400","=""04013614400""","61000","2020-2024","2022","Census","Walgreens 5266","21632 N 35th Ave","","Glendale","AZ","85308","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611300","AZ","04013611300","=""04013611300""","134123","2020-2024","2022","Census","Walgreens 9472","2707 W Carefree Hwy","","Phoenix","AZ","85085","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612301","AZ","04013612301","=""04013612301""","98387","2020-2024","2022","Census","Walmart 5190","2501 W Happy Valley Rd","Ste 34","Phoenix","AZ","85085","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612500","AZ","04013612500","=""04013612500""","127875","2020-2024","2022","Census","Papa Johns #4388","4815 E Carefree Hwy","Ste C128","Cave Creek","AZ","85331","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612800","AZ","04013612800","=""04013612800""","120000","2020-2024","2022","Census","Papa Murphy's Pizza AZ010","29455 N Cave Creek Rd","Ste 142","Cave Creek","AZ","85331","MARICOPA","Specialty Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611600","AZ","04013611600","=""04013611600""","175086","2020-2024","2022","Census","QuikTrip 1435","3510 W Happy Valley Rd","","Phoenix","AZ","85085","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616500","AZ","04013616500","=""04013616500""","83342","2020-2024","2022","Census","QuikTrip 421","19990 N 19th Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616800","AZ","04013616800","=""04013616800""","105365","2020-2024","2022","Census","QuikTrip 426","19815 N 7th St","","Phoenix","AZ","85024","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614700","AZ","04013614700","=""04013614700""","59315","2020-2024","2022","Census","QuikTrip 465","23550 N 23rd Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614900","AZ","04013614900","=""04013614900""","107763","2020-2024","2022","Census","QuikTrip 497R","21050 N Cave Creek Rd","","Phoenix","AZ","85024","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611800","AZ","04013611800","=""04013611800""","120412","2020-2024","2022","Census","Runway Rest LLC dba Subway 18603","23425 N 39th Drive","Ste 108","Glendale","AZ","85310","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612600","AZ","04013612600","=""04013612600""","97438","2020-2024","2022","Census","SAFEWAY  1543","29834 N Cave Creek Rd","","Cave Creek","AZ","85331","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611600","AZ","04013611600","=""04013611600""","175086","2020-2024","2022","Census","Safeway 2821","3800 W Happy Valley Rd","","Phoenix","AZ","85310","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610600","AZ","04013610600","=""04013610600""","136006","2020-2024","2022","Census","Sprouts Farmers Market 51","34750 N North Valley Pkwy","","Phoenix","AZ","85086","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610600","AZ","04013610600","=""04013610600""","136006","2020-2024","2022","Census","Subway 25887","3120 W Carefree Hwy","Ste B-9","Phoenix","AZ","85086","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614900","AZ","04013614900","=""04013614900""","107763","2020-2024","2022","Census","Burger King # 25016","2337 E Quail Ave","","Phoenix","AZ","85024","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616400","AZ","04013616400","=""04013616400""","69449","2020-2024","2022","Census","Burger King # 27774","20035 N 35th Ave","","Phoenix","AZ","85027","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616600","AZ","04013616600","=""04013616600""","84575","2020-2024","2022","Census","Burger King #24194","20039 N 19th Ave","","Phoenix","AZ","85027","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611500","AZ","04013611500","=""04013611500""","160461","2020-2024","2022","Census","CVS Pharmacy 10615","5450 W Happy Valley Rd","","Phoenix","AZ","85308","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013613300","AZ","04013613300","=""04013613300""","149596","2020-2024","2022","Census","CVS Pharmacy 7852","28138 N Tatum Blvd","","Cave Creek","AZ","85331","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615202","AZ","04013615202","=""04013615202""","110361","2020-2024","2022","Census","CVS Pharmacy 9339","21001 N Tatum Blvd","Ste 82","Phoenix","AZ","85050","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614700","AZ","04013614700","=""04013614700""","59315","2020-2024","2022","Census","Cal Inc 82556","20838 N 19th Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612402","AZ","04013612402","=""04013612402""","163889","2020-2024","2022","Census","Circle K 2705295","29816 N Tatum Blvd","","Cave Creek","AZ","85331","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013613300","AZ","04013613300","=""04013613300""","149596","2020-2024","2022","Census","Circle K 2705303","26290 N Tatum Blvd","","Phoenix","AZ","85050","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614400","AZ","04013614400","=""04013614400""","61000","2020-2024","2022","Census","Circle K 2705322","24838 N 35th Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614800","AZ","04013614800","=""04013614800""","72474","2020-2024","2022","Census","Circle K 2705325","20202 N 7th Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612500","AZ","04013612500","=""04013612500""","127875","2020-2024","2022","Census","Circle K 2705954","4815 E Carefree Hwy","","Cave Creek","AZ","85331","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610500","AZ","04013610500","=""04013610500""","145795","2020-2024","2022","Census","Circle K 2706640","620 E Carefree Hwy","","Phoenix","AZ","85085","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614300","AZ","04013614300","=""04013614300""","137031","2020-2024","2022","Census","Circle K 2706655","20207 N 59th Ave","","Glendale","AZ","85308","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611300","AZ","04013611300","=""04013611300""","134123","2020-2024","2022","Census","Cst Corner Store 2741639","2575 W Sonoran Desert Dr","","Phoenix","AZ","85085","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616400","AZ","04013616400","=""04013616400""","69449","2020-2024","2022","Census","Jack in The Box #1141","19818 N 27th Ave","","Phoenix","AZ","85027","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612301","AZ","04013612301","=""04013612301""","98387","2020-2024","2022","Census","Jack in The Box #1560","2113 W Happy Valley Rd","","Phoenix","AZ","85085","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615202","AZ","04013615202","=""04013615202""","110361","2020-2024","2022","Census","Jacksons Food Stores 804","21001 N Tatum Blvd","","Phoenix","AZ","85050","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616400","AZ","04013616400","=""04013616400""","69449","2020-2024","2022","Census","7-ELEVEN 32319 A","19848 N 27th Ave","","Phoenix","AZ","85027","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615202","AZ","04013615202","=""04013615202""","110361","2020-2024","2022","Census","Albertsons 25","21001 N TATUM BLVD","","PHOENIX","AZ","85050","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610600","AZ","04013610600","=""04013610600""","136006","2020-2024","2022","Census","Albertsons 4","3130 W Carefree Hwy","","Phoenix","AZ","85086","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013611300","AZ","04013611300","=""04013611300""","134123","2020-2024","2022","Census","FRY'S #694","2800 W Dove Valley Rd","","Phoenix","AZ","85085","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013617002","AZ","04013617002","=""04013617002""","89010","2020-2024","2022","Census","Fast Market 4593","20205 N Cave Creek Rd","","Phoenix","AZ","85024","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612301","AZ","04013612301","=""04013612301""","98387","2020-2024","2022","Census","Dollar Tree 4480","2501 W Happy Valley Rd","Ste 41","Phoenix","AZ","85085","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614300","AZ","04013614300","=""04013614300""","137031","2020-2024","2022","Census","Jack in The Box #1500","20209 N 59th Ave","","Glendale","AZ","85308","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013614200","AZ","04013614200","=""04013614200""","125083","2020-2024","2022","Census","FRY'S 60","20220 N 59th Ave","","Glendale","AZ","85308","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013613000","AZ","04013613000","=""04013613000""","197750","2020-2024","2022","Census","BURGER KING 21771","34193 N Cave Creek Rd","","Cave Creek","AZ","85331","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
